,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,MKT_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
5529,4,12,2,19790,1714,1042302,1486903,1920,1916.0,-4.0,2119,2111.0,-8.0,179.0,175.0,1086.0,0.0,0.0,0.0,0.0,0.0
5530,9,27,2,19805,4225,1042302,1119302,1319,1312.0,-7.0,1648,1633.0,-15.0,149.0,141.0,958.0,0.0,0.0,0.0,0.0,0.0
5531,1,6,4,19977,2222,1042302,1129202,1815,1809.0,-6.0,1938,2020.0,42.0,143.0,191.0,775.0,0.0,0.0,42.0,0.0,0.0
5532,6,6,1,19393,1010,1042302,1315805,1955,2009.0,14.0,2055,2108.0,13.0,60.0,59.0,294.0,0.0,0.0,0.0,0.0,0.0
5533,7,28,4,19393,784,1042302,1320402,2005,2054.0,49.0,2340,33.0,53.0,155.0,159.0,994.0,0.0,0.0,4.0,0.0,49.0
5534,10,10,1,19805,1635,1042302,1129806,750,745.0,-5.0,900,849.0,-11.0,70.0,64.0,190.0,0.0,0.0,0.0,0.0,0.0
5535,6,2,4,19790,2984,1042302,1486903,1800,1801.0,1.0,2002,1942.0,-20.0,182.0,161.0,1086.0,0.0,0.0,0.0,0.0,0.0
5536,7,18,1,19393,1010,1042302,1315805,1955,2000.0,5.0,2055,2055.0,0.0,60.0,55.0,294.0,0.0,0.0,0.0,0.0,0.0
5537,8,4,4,19393,339,1042302,1393007,805,806.0,1.0,1045,1053.0,8.0,160.0,167.0,977.0,0.0,0.0,0.0,0.0,0.0
5538,11,6,7,19977,1935,1042302,1129202,1818,1836.0,18.0,1940,1950.0,10.0,142.0,134.0,775.0,0.0,0.0,0.0,0.0,0.0
5539,4,6,3,19805,4248,1042302,1319801,930,921.0,-9.0,1128,1108.0,-20.0,118.0,107.0,650.0,0.0,0.0,0.0,0.0,0.0
5540,9,20,2,19393,467,1042302,1323202,950,1000.0,10.0,1215,1230.0,15.0,145.0,150.0,972.0,10.0,0.0,5.0,0.0,0.0
5541,7,8,5,19977,305,1042302,1393007,607,617.0,10.0,855,909.0,14.0,168.0,172.0,977.0,0.0,0.0,0.0,0.0,0.0
5542,1,21,5,19790,816,1042302,1289208,1937,1936.0,-1.0,2108,2102.0,-6.0,211.0,206.0,1242.0,0.0,0.0,0.0,0.0,0.0
5543,2,1,2,19393,614,1042302,1127805,1220,1219.0,-1.0,1620,1616.0,-4.0,180.0,177.0,1315.0,0.0,0.0,0.0,0.0,0.0
5544,2,15,2,19805,2198,1042302,1129806,1427,1428.0,1.0,1535,1530.0,-5.0,68.0,62.0,190.0,0.0,0.0,0.0,0.0,0.0
5545,7,10,7,19393,1266,1042302,1125904,1800,1845.0,45.0,1900,1940.0,40.0,60.0,55.0,189.0,0.0,14.0,0.0,0.0,26.0
5546,5,2,1,19977,595,1042302,1129202,745,838.0,53.0,900,937.0,37.0,135.0,119.0,775.0,37.0,0.0,0.0,0.0,0.0
5547,3,16,3,19790,1468,1042302,1039707,1855,1851.0,-4.0,2200,2152.0,-8.0,125.0,121.0,813.0,0.0,0.0,0.0,0.0,0.0
5548,12,21,3,19393,736,1042302,1323202,2205,2203.0,-2.0,35,28.0,-7.0,150.0,145.0,972.0,0.0,0.0,0.0,0.0,0.0
5549,6,13,1,19393,266,1042302,1320402,525,525.0,0.0,905,855.0,-10.0,160.0,150.0,994.0,0.0,0.0,0.0,0.0,0.0
5550,1,10,1,19977,215,1042302,1289208,800,755.0,-5.0,928,908.0,-20.0,208.0,193.0,1242.0,0.0,0.0,0.0,0.0,0.0
5551,6,1,3,19393,2693,1042302,1349505,1125,1133.0,8.0,1240,1242.0,2.0,75.0,69.0,444.0,0.0,0.0,0.0,0.0,0.0
5552,10,12,3,19805,533,1042302,1289208,1347,1341.0,-6.0,1501,1452.0,-9.0,194.0,191.0,1242.0,0.0,0.0,0.0,0.0,0.0
5553,3,11,5,19805,1052,1042302,1393007,1655,1654.0,-1.0,1940,1931.0,-9.0,165.0,157.0,977.0,0.0,0.0,0.0,0.0,0.0
5554,2,17,4,19805,1680,1042302,1129202,710,707.0,-3.0,833,828.0,-5.0,143.0,141.0,775.0,0.0,0.0,0.0,0.0,0.0
5555,9,12,1,19393,1504,1042302,1530402,900,859.0,-1.0,1220,1209.0,-11.0,140.0,130.0,928.0,0.0,0.0,0.0,0.0,0.0
5556,10,5,3,19393,2385,1042302,1082106,1250,1259.0,9.0,1705,1655.0,-10.0,195.0,176.0,1342.0,0.0,0.0,0.0,0.0,0.0
5557,5,13,5,20368,2804,1042302,1043105,1721,1714.0,-7.0,2035,2046.0,11.0,134.0,152.0,950.0,0.0,0.0,0.0,0.0,0.0
5558,4,21,4,19977,5352,1042302,1289208,800,819.0,19.0,934,936.0,2.0,214.0,197.0,1242.0,0.0,0.0,0.0,0.0,0.0
5559,4,16,6,19393,2185,1042302,1082106,1100,1110.0,10.0,1510,1510.0,0.0,190.0,180.0,1342.0,0.0,0.0,0.0,0.0,0.0
5560,7,4,1,19393,1095,1042302,1467903,1705,1706.0,1.0,1755,1746.0,-9.0,170.0,160.0,1164.0,0.0,0.0,0.0,0.0,0.0
5561,9,30,5,19805,1595,1042302,1129806,630,624.0,-6.0,738,734.0,-4.0,68.0,70.0,190.0,0.0,0.0,0.0,0.0,0.0
5562,3,9,3,19393,2412,1042302,1410702,1610,1629.0,19.0,1750,1801.0,11.0,160.0,152.0,872.0,0.0,0.0,0.0,0.0,0.0
5563,8,11,4,19393,888,1042302,1082106,1705,1955.0,170.0,2125,3.0,158.0,200.0,188.0,1342.0,41.0,0.0,0.0,0.0,117.0
5564,10,15,6,19393,2283,1042302,1379609,1035,1209.0,94.0,1215,1345.0,90.0,220.0,216.0,1497.0,0.0,0.0,61.0,0.0,29.0
5565,10,8,6,19977,238,1042302,1129202,545,538.0,-7.0,702,644.0,-18.0,137.0,126.0,775.0,0.0,0.0,0.0,0.0,0.0
5566,11,8,2,19393,569,1042302,1127805,1225,1238.0,13.0,1625,1659.0,34.0,180.0,201.0,1315.0,0.0,0.0,21.0,0.0,13.0
5567,12,12,1,19805,1459,1042302,1289208,1400,1405.0,5.0,1523,1533.0,10.0,203.0,208.0,1242.0,0.0,0.0,0.0,0.0,0.0
5568,12,5,1,19805,2869,1042302,1289208,817,813.0,-4.0,940,933.0,-7.0,203.0,200.0,1242.0,0.0,0.0,0.0,0.0,0.0
5569,9,6,2,19393,523,1042302,1154005,645,641.0,-4.0,720,705.0,-15.0,95.0,84.0,528.0,0.0,0.0,0.0,0.0,0.0
5570,9,21,3,19393,874,1042302,1295407,2000,2024.0,24.0,2110,2117.0,7.0,190.0,173.0,1226.0,0.0,0.0,0.0,0.0,0.0
5571,11,4,5,20416,219,1042302,1320402,700,828.0,88.0,1038,1146.0,68.0,158.0,138.0,994.0,0.0,0.0,68.0,0.0,0.0
5572,1,6,4,19977,2644,1042302,1226603,530,524.0,-6.0,633,626.0,-7.0,63.0,62.0,140.0,0.0,0.0,0.0,0.0,0.0
5573,8,25,4,19977,288,1042302,1393007,1029,1021.0,-8.0,1315,1259.0,-16.0,166.0,158.0,977.0,0.0,0.0,0.0,0.0,0.0
5574,3,23,3,19977,630,1042302,1226603,1731,1727.0,-4.0,1840,1847.0,7.0,69.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0
5575,5,13,5,19930,444,1042302,1467903,730,719.0,-11.0,840,829.0,-11.0,190.0,190.0,1164.0,0.0,0.0,0.0,0.0,0.0
5576,1,24,1,19393,242,1042302,1483106,1830,1822.0,-8.0,2030,2011.0,-19.0,240.0,229.0,1476.0,0.0,0.0,0.0,0.0,0.0
